id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
;;;;;__export__.account_account_134;2015-9-1;Publication;1600;;__export__.account_journal_5;__export__.account_period_10
257;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_180;2015-9-1;Prospection de mandats (forfait);;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Prospection de mandats (forfait);1600;;__export__.account_journal_5;__export__.account_period_10
276;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_181;2015-9-1;Mineure Créagir Cours;;400;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Mineure Créagir Cours;400;;__export__.account_journal_5;__export__.account_period_10
277;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_181;2015-9-1;Coordination Mineure Créagir;;2000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Coordination Mineure Créagir;2000;;__export__.account_journal_5;__export__.account_period_10
289;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_182;2015-9-1;Projet RCSO iCare;;11550;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Projet RCSO iCare;11550;;__export__.account_journal_5;__export__.account_period_10
340;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_183;2015-9-1;Réserve -- CTI ou autre projet à fond de tiers;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Réserve -- CTI ou autre projet à fond de tiers;4000;;__export__.account_journal_5;__export__.account_period_10
341;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_183;2015-9-1;Mandat pass vac facture mai 2014;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Mandat pass vac facture mai 2014;1600;;__export__.account_journal_5;__export__.account_period_10
366;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_184;2015-9-1;ESIG : Poste 6h/22*1800;;19600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;ESIG : Poste 6h/22*1800;19600;;__export__.account_journal_5;__export__.account_period_10
385;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_185;2015-9-1;Forfait – nouveau professeur;;16000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Forfait – nouveau professeur;16000;;__export__.account_journal_5;__export__.account_period_10
386;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_185;2015-9-1;Forfait – prospection de mandat;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Forfait – prospection de mandat;1600;;__export__.account_journal_5;__export__.account_period_10
420;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_186;2015-9-1;Cours de Comptabilité Passerelle EHG;;1200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Cours de Comptabilité Passerelle EHG;1200;;__export__.account_journal_5;__export__.account_period_10
444;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_187;2015-9-1;40903-Dévt projet RCSO RepCTAsys (Régul14-15);;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;40903-Dévt projet RCSO RepCTAsys (Régul14-15);1600;;__export__.account_journal_5;__export__.account_period_10
445;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_187;2015-9-1;35879 - Réalisation mandat Uni Neuchâtel cours;;6800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;35879 - Réalisation mandat Uni Neuchâtel cours;6800;;__export__.account_journal_5;__export__.account_period_10
