"id","date","journal_id/id","name","period_id/id"
"612","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"572","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"567","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"559","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"556","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"555","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"554","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"546","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"545","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"498","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"496","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"495","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"494","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"493","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"462","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"461","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"459","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"458","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"445","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"444","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"420","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"386","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"385","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"366","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"341","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"340","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"289","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"277","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"276","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"257","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"255","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"254","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"253","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"240","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"236","2015-09-16","__export__.account_journal_5","1","__export__.account_period_10"
"227","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"210","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"186","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"185","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"184","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"183","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"172","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"133","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"125","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"124","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"123","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"122","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"121","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
"7","2015-09-01","__export__.account_journal_5","1","__export__.account_period_10"
